2011_SLA,IRSD_decile,
320053616,7,
320056662,4,
320056665,4,
320056666,2,
320056667,2,
320056668,5,
320056914,3,
320056916,4,
320056923,7,
320056928,3,
320056931,3,
320056933,5,
320056935,2,
320057312,6,
320057313,5,
320057315,5,
320057316,1,
320057318,5,
325050300,3,
325051750,6,
325054862,3,
325054864,3,
325054865,8,
325054867,6,
325054868,5,
325055600,3,
325055800,2,
325056150,3,
330056362,6,
330056365,9,
330056368,4,
330103362,8,
330103366,6,
330150370,5,
330152272,7,
330152274,7,
330152276,7,
330152278,9,
330153364,5,
330153368,2,
330156363,6,
330156366,5,
330156367,1,
330157550,1,
335050412,3,
335050416,5,
335050418,6,
335050450,3,
335050762,3,
335050765,4,
335050900,1,
335052750,2,
335054712,6,
335054714,4,
335054716,6,
335057400,3,
340054772,7,
340103982,8,
340103984,8,
340103986,7,
340104773,6,
340104775,6,
340104777,5,
340107342,3,
340107345,6,
345057001,5,
345057003,9,
345057007,5,
345057012,5,
345057014,10,
345057015,1,
345057018,3,
345057023,2,
345057026,4,
345057027,6,
345057031,3,
345057033,8,
345057034,6,
345057038,10,
345057041,8,
345057044,8,
345057047,9,
345057051,2,
345057054,5,
345057058,4,
345057062,7,
345057065,5,
345057068,2,
345057071,1,
345057074,4,
345057078,4,
345107005,7,
345107028,4,
345107030,7,
345151900,4,
345152312,2,
345152314,4,
345153800,4,
345155790,1,
345157043,6,
345157076,7,
350052062,8,
350052065,1,
350052066,3,
350052068,7,
350052072,7,
350052074,4,
350052076,7,
350100250,1,
350102067,5,
350102078,5,
350102262,3,
350102264,2,
350102500,2,
350102600,3,
350103100,3,
350103830,1,
350104420,1,
350104570,1,
350104830,1,
350105670,1,
350105781,1,
350105783,1,
350105784,1,
350105786,1,
350105788,1,
350106070,1,
350106812,4,
350106814,4,
350106816,1,
350106818,2,
350106950,1,
350106963,1,
350106965,1,
350106968,1,
350106972,1,
350106974,1,
350106976,1,
350106978,1,
350106982,1,
350106984,1,
350106986,1,
350106992,1,
350106993,1,
350106995,1,
350106996,1,
350106998,1,
350107300,9,
350107570,1,
350107600,1,
355051950,2,
355052250,1,
355052450,3,
355052770,1,
355053200,3,
355054800,7,
355055250,1,
355055300,5,
355056300,5,
405052030,4,
405055681,5,
405055683,1,
405055684,9,
405055686,3,
405055688,1,
405055891,4,
405055894,1,
405057141,1,
405057143,1,
405057144,3,
405057146,3,
405057148,7,
405057701,7,
405057704,9,
405057705,8,
405057708,6,
405101061,7,
405101064,4,
405101065,3,
405101068,2,
405105895,4,
405105896,1,
405105897,1,
405108411,4,
405108414,6,
405150070,6,
405150121,10,
405150124,10,
405150701,9,
405150704,9,
405150911,7,
405150914,4,
405155291,6,
405155294,8,
405156510,8,
405157981,9,
405157984,9,
405158260,9,
405202601,8,
405202604,7,
405204061,4,
405204064,4,
405204065,9,
405204341,10,
405204344,9,
405204345,8,
405205341,2,
405205342,8,
405205343,3,
405205344,1,
405205345,9,
405205346,4,
405205347,7,
410050311,5,
410050314,7,
410050315,7,
410053650,7,
410053920,4,
410102750,5,
410150125,9,
410150128,8,
410154551,7,
410154554,8,
410200221,4,
410200224,6,
410208050,4,
410208750,4,
415050430,3,
415051560,2,
415058831,3,
415058834,3,
415101140,6,
415102110,3,
415108130,2,
420050521,1,
420050524,2,
420053791,3,
420053794,2,
420054210,2,
420056671,4,
420056674,2,
420059039,3,
420103080,5,
420105040,1,
420107290,5,
420107800,3,
425053360,4,
425055090,5,
425056860,6,
425057630,5,
425102250,6,
425104620,2,
425108341,4,
425108344,2,
430051190,6,
430051750,5,
430051960,4,
430053220,8,
430053710,6,
430056300,3,
430057910,4,
430058640,7,
430059179,6,
430101010,2,
430107490,5,
430109249,1,
435058540,2,
435059389,1,
435155120,5,
435155400,5,
435155540,1,
435156451,1,
435156454,4,
435201830,3,
435204830,5,
435206090,2,
435209529,3,
435250250,1,
435251330,1,
435254000,1,
435256970,10,
435259589,2,
505051310,10,
505051750,10,
505052170,10,
505055740,9,
505056580,10,
505056930,10,
505057081,8,
505057082,9,
505057980,9,
505058570,8,
505100350,6,
505100420,7,
505104200,8,
505106090,8,
505108050,6,
505154171,9,
505154174,10,
505157914,5,
505157915,9,
505157916,9,
505158761,8,
