DRG,costweight_16,cost_16,costweight_17,cost_17,costweight_18,cost_18,costweight_19,cost_19,costweight_20,cost_20,ave_charge_16,ave_charge_17,ave_charge_18,ave_charge_19,ave_charge_20,private_16,paed_16,private_17,paed_17,private_18,paed_18,private_19,paed_19,private_20,paed_20
K13Z,2.27,"11,805",2.75,"14,220",2.86,"13,987",2.99,"15,022",3.37,"17,962",7072.24,7102.6,7875.06,8019.49,7957.31,0.19,1,0.16,1,0.17,1,0.15,1,0.15,1
K40A,3.48,"18,118",3.79,"19,597",4.42,"21,580",4.43,"22,277",4.35,"23,198",5926.71,6284.4,6481.61,6229.09,7586.64,0.11,1,0.1,1.06,0.12,1,0.1,1.06,0.1,1.06
K40B,0.44,"2,286",0.45,"2,311",0.51,"2,470",0.50,"2,535",0.51,"2,729",1076.86,1086.77,1102.02,1168.25,1194.58,0.15,1.09,0.35,2,0.36,2,0.28,1.98,0.27,1.97
K40C,,,,,,,,,,,,,,,,0.29,1.16,,,,,,,,
K60A,2.09,"10,843",2.15,"11,107",2.30,"11,256",2.31,"11,622",2.38,"12,684",8619.55,8127.03,9037.5,8780.53,9924.27,0.1,1.7,0.09,1.16,0.09,1.28,0.09,1.39,0.09,1.43
K60B,0.86,"4,448",0.84,"4,352",0.84,"4,083",0.84,"4,232",0.85,"4,556",4304.66,4273.87,4547.93,4605.72,4856.38,0.11,1.99,0.37,1.72,0.3,1.91,0.22,1.92,0.15,1.87
K60C,,,,,,,,,,,,,,,,1,1.29,,,,,,,,
K61A,3.82,"19,858",4.11,"21,234",5.18,"25,322",4.64,"23,331",5.10,"27,201",10513.6,11296.84,9860.98,8909.62,13535.69,,,0.07,1,0.05,1,0.08,1.09,0.07,1.34
K61B,1.71,"8,870",1.91,"9,893",2.13,"10,390",2.02,"10,177",2.08,"11,114",7818.6,6479.35,8894.16,8694.99,8524.3,,,0.07,1,0.05,1,0.04,1,0.08,1
K61Z,,,,,,,,,,,,,,,,0.08,1,,,,,,,,
K62A,2.27,"11,798",1.98,"10,242",2.28,"11,154",2.24,"11,267",2.30,"12,278",8093.02,7359.2,7505.29,8010.39,8250.53,0.1,1.77,0.09,1.35,0.1,1.41,0.09,1.43,0.09,1.39
