DRG,costweight_16,cost_16,costweight_17,cost_17,costweight_18,cost_18,costweight_19,cost_19,costweight_20,cost_20,ave_charge_16,ave_charge_17,ave_charge_18,ave_charge_19,ave_charge_20,private_16,paed_16,private_17,paed_17,private_18,paed_18,private_19,paed_19,private_20,paed_20
T64A,5.64,"29,308",7.44,"38,459",7.12,"34,770",6.63,"33,351",6.37,"33,984",9820.83,11370.87,16522.57,17135.75,14604.87,0.11,1,0.08,1,0.09,1,0.07,1,0.06,1.7
T64B,2.28,"11,864",2.74,"14,169",2.77,"13,550",2.67,"13,442",2.69,"14,364",6732.23,7750.55,8613.3,8233.82,8029.52,0.09,1.18,0.09,1,0.1,1,0.08,1.05,0.09,1.18
T64C,1.03,"5,353",1.08,"5,598",1.14,"5,587",1.17,"5,858",1.27,"6,783",3618.55,2888.49,3741.13,3955.97,4190.22,0.1,1,0.09,1.17,0.09,1.09,0.1,1,0.11,1.05
U40A,,,0.17,882,,,,,,,,,437.13,683.03,,,,,,,,0.18,1,0.14,1
U40B,,,0.17,900,,,,,,,,,439.04,467.84,,,,,,,,0.12,1,0.11,1
U40Z,0.17,907,,,0.20,955,0.23,"1,174",0.26,"1,388",365.69,388.45,,,451.58,0.12,1,0.09,1,0.12,1,,,,
U60A,0.22,"1,166",,,,,,,,,299.32,298.69,,,,,,0.06,1.82,0.15,1.8,,,,
U60B,0.16,825,,,,,,,,,293.29,292.37,,,,,,0.2,2,0.15,1.98,,,,
U60Z,,,0.25,"1,291",0.16,798,0.15,758,0.15,786,,,305.54,305.06,307.32,0.04,1.79,,,,,0.14,2,0.1,2
U61A,7.16,"37,223",3.46,"17,912",3.88,"18,958",2.76,"13,870",3.89,"20,752",16931.51,19584.18,17816.01,19820.4,17809,0.01,1,0.01,1,0.02,1,0.02,1,0.01,1
U61B,3.85,"20,026",1.30,"6,713",1.36,"6,643",0.91,"4,580",0.92,"4,901",11365.48,12430.19,11822.03,12053.55,12567.75,0.01,1,0.01,1.58,0.01,1,0.01,1,0.01,1
U62A,5.41,"28,113",3.10,"16,035",3.49,"17,048",3.66,"18,377",3.18,"16,945",13986.09,17562.4,16144.41,16362.37,15735.57,0.03,1,0.03,1,0.02,1,0.02,1,0.02,1
U62B,2.72,"14,156",1.07,"5,529",1.24,"6,065",1.07,"5,360",1.02,"5,447",10938.3,11691.97,11513.87,12069.26,11355.29,0.04,1.82,0.02,1.61,0.02,1.64,0.02,1.91,0.03,1.97
U63A,6.36,"33,083",3.39,"17,509",3.54,"17,301",4.33,"21,767",3.72,"19,859",17105.29,17789.57,18398.53,19072.39,19772.76,0.03,1,0.02,1.93,0.02,2,0.02,1.84,0.02,1.69
U63B,3.05,"15,838",1.24,"6,418",1.28,"6,271",1.22,"6,121",1.20,"6,423",11234.74,11406,11826.88,12247.91,13025.89,0.01,1.79,0.02,1.64,0.02,1.55,0.02,1.54,0.03,1.54
U64A,3.06,"15,929",1.92,"9,954",2.17,"10,624",1.98,"9,937",1.92,"10,230",14400.49,14959.75,15453.58,16123.21,15216.64,,,0.03,1.48,0.03,1.57,0.03,1.7,0.02,1.67
U64B,1.55,"8,075",0.86,"4,442",0.82,"3,991",0.80,"4,021",0.78,"4,166",10100.73,9851.66,10162.84,10502.34,12108.95,,,0.03,1.55,0.02,1.54,0.02,1.79,0.03,1.8
U64Z,,,,,,,,,,,,,,,,0.02,1.56,,,,,,,,
U65A,2.44,"12,685",1.92,"9,930",1.81,"8,830",2.01,"10,082",2.11,"11,264",12427.14,12712.4,13263.76,13367.86,13524.01,,,0.05,1.39,0.05,1.44,0.05,1.59,0.04,1.5
U65B,1.05,"5,466",0.81,"4,182",0.72,"3,535",0.74,"3,721",0.77,"4,122",8461.21,8390.87,8512.24,9090.89,9570.75,,,0.08,1.79,0.06,1.78,0.06,1.82,0.06,1.69
U65Z,,,,,,,,,,,,,,,,0.06,1.87,,,,,,,,
U66A,6.80,"35,328",6.45,"33,364",7.39,"36,081",6.38,"32,088",6.74,"35,949",21465.44,20248.27,23184.89,24352.9,24068.39,,,0.03,1.09,0.03,1.11,0.03,1.1,0.03,1.12
U66B,4.31,"22,426",3.57,"18,453",4.36,"21,306",4.42,"22,202",3.87,"20,630",14300.03,15569.34,16448.73,17968.91,19457.04,,,0.03,1.21,0.03,1.17,0.03,1.18,0.02,1.2
U66Z,,,,,,,,,,,,,,,,0.03,1.1,,,,,,,,
U67A,2.82,"14,667",2.14,"11,049",2.25,"10,991",2.45,"12,298",2.91,"15,526",15220.68,15996.87,16907.12,17171.3,17043.97,,,0.02,1.9,0.02,1.77,0.03,1.76,0.01,1.62
U67B,1.36,"7,083",0.80,"4,116",0.83,"4,044",0.83,"4,160",0.83,"4,455",10116.37,10440.51,10996.7,11314.91,12430.38,,,0.02,1.7,0.02,1.62,0.02,1.81,0.02,1.69
U67Z,,,,,,,,,,,,,,,,0.02,1.59,,,,,,,,
U68A,3.68,"19,133",3.12,"16,153",5.18,"25,320",4.46,"22,423",4.36,"23,244",8576.38,13606.83,13037.39,14085.87,14007.26,,,0.01,1.3,0.01,1.31,0.02,1.34,0.01,1.14
U68B,1.99,"10,328",1.23,"6,385",1.67,"8,182",2.16,"10,878",2.00,"10,647",9637.43,12707.96,10416.76,10774.09,11503.43,,,0.01,1.49,0.01,1.29,0.02,1.39,0.01,1.23
U68Z,,,,,,,,,,,,,,,,0.02,1.49,,,,,,,,
V60A,1.38,"7,153",0.99,"5,126",1.02,"4,982",1.02,"5,145",1.06,"5,659",9992.38,8230.94,9375.8,8684.59,10952.13,0.11,1,0.07,1,0.1,1,0.06,1,0.07,1
V60B,0.61,"3,196",0.37,"1,930",0.29,"1,410",0.31,"1,563",0.32,"1,716",7038.96,4608.86,4187.46,2515.14,5001.07,0.11,0.8,0.08,0.8,0.09,1,0.12,0.85,0.12,0.87
V61A,3.12,"16,211",0.97,"5,035",1.22,"5,969",1.18,"5,949",1.00,"5,320",11683.48,12487.47,6832.72,7461.78,5748.6,,,0.04,1,0.02,1,0.03,1.6,0.03,1.84
V61B,1.65,"8,582",0.53,"2,730",0.51,"2,487",0.43,"2,154",0.38,"2,041",9137.15,9248.61,4261.29,5346.68,5690.06,,,0.02,2,0.02,1.69,0.04,1,0.04,1
V61Z,,,,,,,,,,,,,,,,0.03,1,,,,,,,,
V62A,3.29,"17,120",2.35,"12,134",2.54,"12,423",2.57,"12,939",2.85,"15,231",12826.12,13607.46,8214.26,8370.4,5918.59,,,0.05,1,0.05,1,0.04,1,0.04,1
V62B,1.09,"5,690",0.76,"3,943",0.94,"4,591",1.00,"5,004",1.07,"5,706",9818,10288.14,1692.99,1815.47,2208.13,,,0.02,1,0.02,1,0.03,1,0.04,1
V62Z,,,,,,,,,,,,,,,,0.04,1,,,,,,,,
V63Z,1.27,"6,588",1.30,"6,728",1.41,"6,882",1.43,"7,177",1.54,"8,190",9855.24,10737.01,3373.53,3200.93,3818.15,0.05,1,0.05,1,0.01,1,0.04,1,0.02,1
V64A,,,1.74,"8,997",2.28,"11,129",1.80,"9,072",1.80,"9,581",,,8152.05,8875.78,6328.64,,,,,,,0.03,1,0.02,1
V64B,,,0.82,"4,238",0.81,"3,981",0.72,"3,642",0.84,"4,495",,,1901.1,1847.89,2382.05,,,,,,,0.03,1,0.02,1
V64Z,1.31,"6,822",,,,,,,,,10012.31,10934.07,,,,0.04,1,0.04,1,0.03,1,,,,
V65Z,0.24,"1,262",,,,,,,,,302.37,299.55,,,,0.14,1.36,0.07,1.23,0.07,1.23,,,,
V66Z,0.25,"1,308",,,,,,,,,256.34,277.29,,,,0.05,1,0.05,1,0.04,1,,,,
W01A,38.01,"197,604",34.26,"177,178",40.45,"197,624",40.18,"202,002",42.05,"224,350",,,,,,0.16,1,0.13,1,0.14,1,0.12,1,0.12,1
W01B,23.42,"121,752",20.50,"106,015",23.62,"115,371",24.74,"124,395",24.16,"128,903",,,,,,0.16,1.14,0.13,1,0.14,1,0.12,1,0.12,1
W01C,14.13,"73,450",13.14,"67,970",14.26,"69,662",13.60,"68,387",13.20,"70,429",,,,,,0.16,1,0.13,1,0.14,1,0.12,1,0.12,1
W02A,11.94,"62,086",12.58,"65,030",12.68,"61,928",12.69,"63,819",12.72,"67,860",,36839.55,34218.91,,,0.27,1,0.16,1,0.19,1,0.18,1,0.2,1
W02B,5.39,"28,026",5.15,"26,619",5.30,"25,915",5.39,"27,110",5.27,"28,141",26379.79,25114.23,23791.94,26638.48,26799.33,0.25,1,0.16,1,0.18,1,0.2,1,0.23,1
W03Z,6.66,"34,637",6.66,"34,445",7.20,"35,187",7.27,"36,565",7.54,"40,206",,,,,,0.16,1,0.13,1,0.14,1,0.14,1,0.14,1
W04A,11.68,"60,704",10.45,"54,065",11.73,"57,312",11.58,"58,231",11.39,"60,752",,47222.87,49851.88,39110.77,,0.16,1,0.13,1,0.17,1,0.15,1,0.19,1
W04B,5.84,"30,375",5.19,"26,826",5.73,"27,993",5.74,"28,858",5.75,"30,659",11784.93,,24776.7,,,0.16,1,0.13,1,0.17,1,0.15,1,0.19,1
W60A,2.78,"14,462",,,,,,,,,7108.75,5918.93,,,,,,0.22,1,0.21,1,,,,
W60B,1.70,"8,825",,,,,,,,,2018.59,,,,,,,0.22,1,0.21,1,,,,
W60Z,,,1.69,"8,751",1.98,"9,696",1.64,"8,230",1.58,"8,426",,,3395.05,2460.64,3100.69,0.2,1,,,,,0.24,1,0.35,1
W61A,4.16,"21,648",4.25,"21,988",3.64,"17,786",3.95,"19,869",4.01,"21,401",26631.14,25815.11,14635.62,17982.84,14468.61,0.11,1,0.06,1,0.08,1,0.09,1,0.08,1.26
W61B,2.23,"11,571",2.02,"10,443",1.83,"8,958",1.77,"8,921",1.78,"9,490",5542.51,4749.34,4144.5,3404.9,2628.55,0.1,1.17,0.07,1.14,0.09,1.14,0.1,1.16,0.1,1.24
X02A,3.68,"19,153",4.68,"24,208",4.86,"23,737",4.86,"24,409",4.68,"24,951",6173.33,8166.26,8032.09,10321.22,8515.86,0.33,1,0.15,1,0.17,1,0.3,1,0.29,1
X02B,1.10,"5,730",1.21,"6,277",1.25,"6,109",1.26,"6,314",1.28,"6,812",3305.67,3342.86,3611.99,3590.97,3843.28,0.25,1.14,0.28,1.26,0.3,1.25,0.31,1.2,0.33,1.22
X04A,3.77,"19,580",4.42,"22,856",4.93,"24,107",4.93,"24,771",4.48,"23,922",8944.51,10838.95,9169.79,10169.76,9670.74,0.12,1,0.1,1,0.12,1,0.12,1,0.1,1
X04B,1.10,"5,721",1.12,"5,783",1.10,"5,367",1.12,"5,649",1.16,"6,190",4157.76,4033.79,4365.22,3940.4,4125.37,0.16,0.89,0.13,1.06,0.14,1.05,0.16,1.05,0.15,1
X05A,1.37,"7,116",1.76,"9,095",1.87,"9,160",1.83,"9,208",1.74,"9,304",3209.92,3254.1,4245.1,4167.26,3823.78,0.1,0.92,0.15,1.1,0.14,1.14,0.13,1.1,0.11,1.13
X05B,0.59,"3,083",0.69,"3,589",0.71,"3,471",0.70,"3,542",0.71,"3,797",2200.38,2203.26,2466.48,2500.74,2508.46,0.18,0.85,0.2,0.95,0.2,1,0.21,0.92,0.2,1
X06A,4.98,"25,890",5.13,"26,534",5.00,"24,405",4.90,"24,649",4.93,"26,280",11655.86,11224.68,12602.23,12064.26,10286.97,0.14,1,0.14,1.3,0.13,1.3,0.1,1.44,0.13,1.66
X06B,1.88,"9,762",1.85,"9,558",1.77,"8,639",1.80,"9,043",1.81,"9,630",6363.23,6264.34,6405.89,6606.82,5161.89,0.14,0.86,0.12,1.12,0.13,1.08,0.15,1,0.12,1
X06C,0.95,"4,927",0.98,"5,094",0.92,"4,505",0.93,"4,680",0.91,"4,842",3584.6,3581.1,3929.64,3957.47,3526.1,,,0.13,0.94,0.14,1,0.13,0.92,0.13,1
X07A,8.64,"44,903",7.33,"37,890",8.34,"40,721",8.93,"44,903",8.25,"44,016",19941.9,20995.69,18602.45,18269.16,18638.53,0.09,1,0.1,1,0.08,1,0.12,1,0.11,1
X07B,3.33,"17,299",3.16,"16,348",3.64,"17,767",3.52,"17,706",3.76,"20,061",10704.93,11035.86,11889.76,11200.16,11934.21,0.09,1.25,0.09,1,0.08,1,0.09,1,0.09,1
X07C,1.99,"10,362",1.88,"9,723",2.06,"10,055",1.88,"9,430",1.93,"10,307",5878.3,6409.92,6871.91,6008.86,6462.7,,,0.1,1.1,0.14,1,0.1,1,0.12,1
X40A,6.02,"31,280",6.74,"34,843",6.62,"32,344",6.62,"33,262",6.36,"33,946",,14208.41,,,,,,0.08,1,0.1,1,0.07,1,0.09,1
X40B,3.86,"20,059",3.96,"20,462",3.94,"19,264",4.02,"20,214",3.94,"21,018",11479.64,,,,,,,0.12,1,0.1,1,0.09,1,0.1,1
X40Z,,,,,,,,,,,,,,,,0.12,1,,,,,,,,
X60A,1.06,"5,529",1.06,"5,488",0.95,"4,648",0.93,"4,669",0.95,"5,094",6601.97,6403.23,6772.74,6942.89,7251.14,0.1,1.13,0.11,1,0.12,1,0.11,1,0.11,1.06
X60B,0.39,"2,020",0.40,"2,055",0.27,"1,328",0.26,"1,303",0.28,"1,484",2280.55,2116.16,2607.7,2438.55,2997.55,0.15,1.28,0.15,1.37,0.17,1.74,0.18,1.58,0.18,1.6
X61A,0.68,"3,551",0.78,"4,017",0.65,"3,198",0.69,"3,446",0.77,"4,105",2521.89,2771.69,4009.59,3273.31,3253.16,,,0.11,1.35,0.09,1.31,0.16,1.15,0.12,1.05
X61B,0.26,"1,335",0.27,"1,384",0.17,807,0.17,854,0.17,920,1496.52,1253.85,1718.09,1473.04,1539.28,,,0.09,1.11,0.13,1.2,0.12,1,0.12,0.95
X61Z,,,,,,,,,,,,,,,,0.15,1,,,,,,,,
X62A,1.72,"8,934",1.37,"7,086",1.32,"6,442",1.44,"7,240",1.34,"7,140",6351.58,6338.87,6511.59,5998.32,6218.28,0.1,1.13,0.08,1.32,0.07,1.47,0.07,1.5,0.08,1.45
X62B,0.52,"2,715",0.43,"2,245",0.34,"1,663",0.33,"1,683",0.34,"1,823",2494.3,2403.36,2216.67,1962.75,2250.97,0.09,1.13,0.09,1.17,0.09,1.19,0.09,1.08,0.08,1.2
X63A,1.53,"7,951",1.56,"8,085",1.48,"7,213",1.48,"7,439",1.46,"7,801",5291.82,4875.72,5757.74,5707.71,5495.02,0.13,1.49,0.1,1.35,0.13,1.44,0.1,1.37,0.1,1.39
X63B,0.52,"2,720",0.54,"2,779",0.49,"2,401",0.49,"2,460",0.51,"2,711",2116.35,1997.7,2299.85,2402.48,2422.64,0.11,0.95,0.09,1,0.12,1.05,0.13,1,0.12,1.1
X64A,1.60,"8,343",1.62,"8,376",1.58,"7,733",1.73,"8,699",1.73,"9,225",6898.68,7441.53,7976.04,9275.72,8056.91,0.14,1,0.1,1.46,0.11,1.4,0.11,1,0.08,1.15
X64B,0.40,"2,055",0.56,"2,876",0.45,"2,203",0.44,"2,220",0.50,"2,682",2000.88,1445,4772.39,4041.07,3822.75,0.15,1.11,0.13,1.25,0.12,1.23,0.12,1.44,0.14,1.65
X64C,,,0.33,"1,723",0.22,"1,062",0.21,"1,043",0.24,"1,270",,,1990.4,1931.3,2373.44,,,,,,,0.16,1.18,0.16,1.17
Y01Z,41.08,"213,576",51.55,"266,556",50.72,"247,809",46.72,"234,867",48.12,"256,697",,,,,,0.05,1,0.06,1,0.07,1,0.07,1,0.06,1
Y02A,8.85,"46,014",8.80,"45,512",10.99,"53,700",11.38,"57,211",11.17,"59,590",,,,,,0.04,1,0.05,1,0.06,1,0.06,1,0.06,1.2
Y02B,3.18,"16,508",3.36,"17,350",4.42,"21,575",4.34,"21,803",4.19,"22,368",7262.5,7000.85,7101.25,6541.19,,0.03,1.1,0.05,1,0.06,1,0.04,1,0.06,1
Y02C,1.16,"6,038",1.35,"7,004",1.90,"9,274",1.95,"9,812",2.09,"11,151",3652.38,6216.71,5656.08,5779.51,4001.93,0.09,0.94,0.06,0.92,0.07,1,0.09,1,0.06,1
Y03A,2.26,"11,774",2.75,"14,224",2.39,"11,680",2.49,"12,502",2.57,"13,687",2334.83,4345.04,5423.83,7736.84,5575.84,,,0.07,1.16,0.07,1.1,0.07,1,0.05,1.21
Y03B,1.13,"5,858",0.92,"4,760",0.93,"4,565",0.99,"4,982",1.01,"5,403",2525.61,3800.32,3279.86,3161.45,4260.72,,,0.09,1,0.08,1.06,0.1,1,0.04,0.92
Y03Z,,,,,,,,,,,,,,,,0.15,0.91,,,,,,,,
Y60Z,0.56,"2,919",0.71,"3,675",0.75,"3,652",0.69,"3,474",0.66,"3,503",,,,,,0.04,1,0.04,1,0.04,1,0.04,1,0.04,1
Y61Z,1.43,"7,450",1.16,"5,986",1.42,"6,924",1.29,"6,483",1.10,"5,860",6590.42,1536.04,2563.79,11264.96,5573.12,0.04,1,0.06,1.15,0.04,1.29,0.04,1.43,0.04,1.36
Y62A,1.47,"7,663",1.38,"7,145",1.62,"7,902",1.88,"9,453",1.65,"8,805",7624.54,4463.64,7575.16,8838.77,8492.41,0.04,1.45,0.04,1.23,0.02,1.26,0.04,1.23,0.04,1.11
Y62B,0.49,"2,539",0.57,"2,927",0.52,"2,532",0.64,"3,209",0.53,"2,837",1655.72,1840.66,2928.15,2037.11,4355.43,0.03,1.4,0.04,1.27,0.05,1.49,0.05,1.49,0.04,1.5
Y62C,,,,,,,,,,,,,,,,0.04,1.48,,,,,,,,
Z01A,2.59,"13,464",3.64,"18,814",3.37,"16,477",3.42,"17,205",3.21,"17,116",5089.47,5912.96,9850.45,11178.55,8944.07,0.17,0.84,0.13,0.8,0.22,0.8,0.15,1,0.2,1
Z01B,0.68,"3,513",0.74,"3,808",0.81,"3,939",0.81,"4,090",0.78,"4,146",2297.19,2300.81,3841.8,3881.31,4076.07,0.44,1,0.38,0.93,0.38,1,0.38,1,0.31,1.15
Z40Z,0.26,"1,342",0.31,"1,612",0.34,"1,637",0.34,"1,703",0.34,"1,790",801.63,828.96,887.64,911.57,928.3,0.35,1.27,0.41,1.36,0.45,1.59,0.39,1.75,0.37,1.84
Z60A,,,10.53,"54,445",,,,,,,665.47,,,,,,,,,,,,,,
Z60B,,,2.08,"10,768",,,,,,,266.86,356.2,,,,,,,,,,,,,
Z60Z,,,,,,,,,,,,,,,,0.04,1,,,,,,,,
Z61A,1.58,"8,219",1.39,"7,190",1.51,"7,366",1.51,"7,587",1.51,"8,066",4284.69,4332.65,3456.66,3820.03,4173.2,0.1,1,0.09,1.35,0.09,1.26,0.09,1.24,0.09,1.27
Z61B,0.60,"3,139",0.43,"2,249",0.40,"1,949",0.40,"1,993",0.44,"2,332",1799.26,1791.91,1802.9,2285.58,2751.23,0.18,0.8,0.12,1.36,0.13,1.4,0.15,1.14,0.15,1.17
Z61C,0.37,"1,918",,,,,,,,,1250.14,1328.49,,,,,,0.14,0.93,0.18,1,,,,
Z63A,2.02,"10,505",2.11,"10,894",2.21,"10,802",2.19,"11,003",2.23,"11,870",6596.13,6546.55,7070.49,7435.17,7415.02,0.11,1,0.09,1.57,0.1,1.89,0.08,1.67,0.07,1.62
Z63B,0.65,"3,387",0.78,"4,057",0.93,"4,542",0.94,"4,706",0.96,"5,112",2554.92,2431.03,2870.18,2618.36,3084,0.17,1,0.19,0.8,0.16,0.84,0.16,0.8,0.13,0.86
Z64A,0.70,"3,642",0.76,"3,941",0.94,"4,574",0.92,"4,633",1.03,"5,503",1643.44,1622.81,3045.2,2929.84,3871.22,0.07,1,0.14,1.13,0.18,1.09,0.09,1,0.08,0.81
Z64B,0.32,"1,640",0.31,"1,596",0.33,"1,594",0.33,"1,682",0.39,"2,056",579.61,559.57,584.33,598.18,613.02,0.59,0.8,0.53,1.07,0.56,1.12,0.49,1.25,0.38,1.27
Z65Z,0.86,"4,494",1.75,"9,036",1.11,"5,438",1.26,"6,341",0.82,"4,366",809.26,1506.88,1239.96,906.24,1659.92,0.2,1,0.16,1,0.09,1,0.14,1.16,0.13,1.05
Z66Z,0.47,"2,437",0.45,"2,304",0.58,"2,837",0.54,"2,700",0.58,"3,081",855.59,734.82,939.36,1130.83,1547.23,0.09,1.47,0.08,1.16,0.24,1,0.11,0.94,0.08,1
